created_at,entry_id,field1,field2,field3,field4
2023-05-26 15:03:47 UTC,317,30,30,26944,1
2023-05-26 15:04:07 UTC,318,30,31,41216,2
2023-05-26 15:04:27 UTC,319,30,29,41168,2
2023-05-26 15:04:48 UTC,320,30,31,41072,2
2023-05-26 15:05:07 UTC,321,29,28,34992,2
2023-05-26 15:05:27 UTC,322,29,32,40768,2
2023-05-26 15:05:47 UTC,323,29,32,16752,1
2023-05-26 15:06:07 UTC,324,29,29,19440,1
2023-05-26 15:06:27 UTC,325,29,31,11216,1
2023-05-26 15:06:47 UTC,326,29,32,13904,1
2023-05-26 15:07:07 UTC,327,29,31,15216,1
2023-05-26 15:07:27 UTC,328,29,31,22832,1
2023-05-26 15:07:49 UTC,329,30,28,23728,1
2023-05-26 15:08:07 UTC,330,30,31,24032,1
2023-05-26 15:08:28 UTC,331,30,31,12896,1
2023-05-26 15:20:48 UTC,332,26,39,40944,2
2023-05-26 15:21:22 UTC,333,26,39,40880,2
2023-05-26 15:21:38 UTC,334,25,34,40880,2
2023-05-26 15:21:58 UTC,335,26,35,40848,2
2023-05-26 15:22:19 UTC,336,25,34,40896,2
2023-05-26 15:22:39 UTC,337,25,34,40880,2
2023-05-26 15:22:59 UTC,338,25,34,40880,2
2023-05-26 15:23:18 UTC,339,25,34,40896,2
2023-05-26 15:23:38 UTC,340,25,34,40928,2
2023-05-26 15:23:58 UTC,341,25,34,40976,2
2023-05-26 15:24:18 UTC,342,25,34,40848,2
